CohortMonth,CohortIndex,CohortSize,ActiveCustomers,RetentionPct
2010-06,15,270,33,12.2
2010-06,16,270,36,13.3
2010-06,17,270,55,20.4
2010-06,18,270,14,5.2
2010-07,0,186,186,100.0
2010-07,1,186,29,15.6
2010-07,2,186,34,18.3
2010-07,3,186,55,29.6
2010-07,4,186,54,29.0
2010-07,5,186,26,14.0
2010-07,6,186,21,11.3
2010-07,7,186,27,14.5
2010-07,8,186,27,14.5
2010-07,9,186,21,11.3
2010-07,10,186,25,13.4
2010-07,11,186,27,14.5
2010-07,12,186,25,13.4
2010-07,13,186,25,13.4
2010-07,14,186,36,19.4
2010-07,15,186,32,17.2
2010-07,16,186,44,23.7
2010-07,17,186,15,8.1
2010-08,0,162,162,100.0
2010-08,1,162,33,20.4
2010-08,2,162,48,29.6
2010-08,3,162,52,32.1
2010-08,4,162,28,17.3
2010-08,5,162,19,11.7
2010-08,6,162,16,9.9
2010-08,7,162,20,12.3
2010-08,8,162,22,13.6
2010-08,9,162,21,13.0
2010-08,10,162,21,13.0
2010-08,11,162,20,12.3
2010-08,12,162,25,15.4
2010-08,13,162,30,18.5
2010-08,14,162,29,17.9
2010-08,15,162,32,19.8
2010-08,16,162,11,6.8
2010-09,0,243,243,100.0
2010-09,1,243,55,22.6
2010-09,2,243,57,23.5
2010-09,3,243,30,12.3
2010-09,4,243,22,9.1
2010-09,5,243,25,10.3
2010-09,6,243,33,13.6
2010-09,7,243,24,9.9
2010-09,8,243,31,12.8
2010-09,9,243,32,13.2
2010-09,10,243,28,11.5
2010-09,11,243,24,9.9
2010-09,12,243,53,21.8
2010-09,13,243,40,16.5
2010-09,14,243,39,16.0
2010-09,15,243,13,5.3
2010-10,0,377,377,100.0
2010-10,1,377,97,25.7
2010-10,2,377,55,14.6
2010-10,3,377,47,12.5
2010-10,4,377,33,8.8
2010-10,5,377,31,8.2
2010-10,6,377,49,13.0
2010-10,7,377,52,13.8
2010-10,8,377,40,10.6
2010-10,9,377,35,9.3
2010-10,10,377,40,10.6
2010-10,11,377,49,13.0
2010-10,12,377,72,19.1
2010-10,13,377,87,23.1
2010-10,14,377,26,6.9
2010-11,0,325,325,100.0
2010-11,1,325,57,17.5
2010-11,2,325,30,9.2
2010-11,3,325,31,9.5
2010-11,4,325,25,7.7
2010-11,5,325,28,8.6
2010-11,6,325,42,12.9
2010-11,7,325,32,9.8
2010-11,8,325,28,8.6
2010-11,9,325,29,8.9
2010-11,10,325,36,11.1
2010-11,11,325,47,14.5
2010-11,12,325,83,25.5
2010-11,13,325,20,6.2
2010-12,0,76,76,100.0
2010-12,1,76,7,9.2
2010-12,2,76,4,5.3
2010-12,3,76,7,9.2
2010-12,4,76,9,11.8
2010-12,5,76,5,6.6
2010-12,6,76,4,5.3
2010-12,7,76,7,9.2
2010-12,8,76,4,5.3
2010-12,9,76,2,2.6
2010-12,10,76,7,9.2
2010-12,11,76,15,19.7
2010-12,12,76,2,2.6
2011-01,0,71,71,100.0
2011-01,1,71,12,16.9
2011-01,2,71,15,21.1
2011-01,3,71,14,19.7
2011-01,4,71,15,21.1
2011-01,5,71,11,15.5
2011-01,6,71,11,15.5
2011-01,7,71,9,12.7
2011-01,8,71,8,11.3
2011-01,9,71,15,21.1
2011-01,10,71,18,25.4
2011-01,11,71,8,11.3
2011-02,0,124,124,100.0
2011-02,1,124,20,16.1
2011-02,2,124,19,15.3
2011-02,3,124,23,18.5
2011-02,4,124,27,21.8
2011-02,5,124,19,15.3
2011-02,6,124,19,15.3
2011-02,7,124,18,14.5
2011-02,8,124,18,14.5
2011-02,9,124,22,17.7
2011-02,10,124,7,5.6
2011-03,0,179,179,100.0
2011-03,1,179,33,18.4
2011-03,2,179,39,21.8
2011-03,3,179,36,20.1
2011-03,4,179,40,22.3
2011-03,5,179,27,15.1
2011-03,6,179,37,20.7
2011-03,7,179,36,20.1
2011-03,8,179,43,24.0
2011-03,9,179,17,9.5
2011-04,0,106,106,100.0
2011-04,1,106,27,25.5
2011-04,2,106,21,19.8
2011-04,3,106,21,19.8
2011-04,4,106,19,17.9
2011-04,5,106,25,23.6
2011-04,6,106,19,17.9
2011-04,7,106,27,25.5
2011-04,8,106,12,11.3
2011-05,0,111,111,100.0
2011-05,1,111,26,23.4
2011-05,2,111,27,24.3
2011-05,3,111,18,16.2
2011-05,4,111,24,21.6
2011-05,5,111,23,20.7
2011-05,6,111,29,26.1
2011-05,7,111,13,11.7
2011-06,0,108,108,100.0
2011-06,1,108,25,23.1
2011-06,2,108,23,21.3
2011-06,3,108,29,26.9
2011-06,4,108,22,20.4
2011-06,5,108,31,28.7
2011-06,6,108,9,8.3
2011-07,0,102,102,100.0
2011-07,1,102,22,21.6
2011-07,2,102,31,30.4
2011-07,3,102,28,27.5
2011-07,4,102,35,34.3
2011-07,5,102,16,15.7
2011-08,0,106,106,100.0
2011-08,1,106,29,27.4
2011-08,2,106,33,31.1
2011-08,3,106,28,26.4
2011-08,4,106,18,17.0
2011-09,0,189,189,100.0
2011-09,1,189,51,27.0
2011-09,2,189,71,37.6
2011-09,3,189,28,14.8
2011-10,0,221,221,100.0
2011-10,1,221,71,32.1
2011-10,2,221,35,15.8
2011-11,0,191,191,100.0
2011-11,1,191,27,14.1
2011-12,0,28,28,100.0
