CustomerID,TotalOrders,TotalRevenue,LastPurchaseDate,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
12532,1,349.83000000000004,2011-11-09 13:47:00,29,4,1,2,412,Potential Loyalists
12533,2,1367.89,2010-03-22 10:56:00,627,1,2,4,124,At Risk
12534,1,1089.18,2011-08-01 10:26:00,130,3,1,3,313,Others
12535,2,716.35,2011-09-09 08:48:00,91,3,2,3,323,Others
12536,3,12601.830000000002,2011-10-27 14:20:00,42,4,3,5,435,Loyal Customers
12537,1,732.94,2010-10-27 08:36:00,408,2,1,3,213,Others
12538,2,640.45,2011-11-10 17:16:00,28,4,2,3,423,Potential Loyalists
12539,7,11214.75,2011-11-17 13:30:00,21,4,4,5,445,Champions
12540,33,22254.49,2011-11-20 11:31:00,19,4,5,5,455,Champions
12541,3,981.18,2011-11-10 10:40:00,29,4,3,3,433,Loyal Customers
12542,2,481.88,2010-08-12 19:12:00,483,1,2,2,122,Others
12543,1,980.25,2010-09-17 15:51:00,447,1,1,3,113,Others
12544,1,372.7,2011-11-03 16:15:00,35,4,1,2,412,Potential Loyalists
12545,2,1000.39,2011-09-25 13:39:00,74,3,2,3,323,Others
12546,2,1161.5,2011-10-24 12:09:00,46,4,2,3,423,Potential Loyalists
12547,3,383.58,2011-05-26 12:38:00,197,2,3,2,232,Others
12548,1,95.19999999999999,2011-06-26 15:35:00,165,3,1,1,311,Others
12549,6,1575.68,2010-05-13 12:05:00,575,1,4,4,144,At Risk
12550,1,964.83,2011-09-21 14:35:00,78,3,1,3,313,Others
12551,1,168.0,2010-12-17 11:23:00,357,2,1,1,211,Others
12552,2,437.82,2011-11-01 10:02:00,38,4,2,2,422,Potential Loyalists
12553,12,4608.75,2011-12-01 16:38:00,7,5,5,5,555,Champions
12554,1,468.5,2010-09-17 12:29:00,448,1,1,2,112,Others
12555,1,129.23,2010-01-26 16:26:00,681,1,1,1,111,Others
12556,2,599.56,2011-10-20 13:06:00,49,4,2,2,422,Potential Loyalists
12557,8,18096.14,2011-11-23 16:59:00,15,5,4,5,545,Champions
12558,1,269.96,2011-12-02 10:41:00,7,5,1,1,511,Potential Loyalists
12559,2,561.71,2011-02-02 09:49:00,310,2,2,2,222,Others
12560,3,2134.01,2011-12-04 13:54:00,4,5,3,4,534,Loyal Customers
12561,1,238.85,2011-02-10 11:39:00,302,2,1,1,211,Others
12562,9,4966.92,2011-12-01 17:20:00,7,5,5,5,555,Champions
12563,1,249.24,2010-10-27 09:52:00,408,2,1,1,211,Others
12564,1,456.9,2011-03-23 14:55:00,260,2,1,2,212,Others
12565,1,145.92,2011-02-24 10:34:00,288,2,1,1,211,Others
12566,1,351.65,2011-09-14 14:30:00,85,3,1,2,312,Others
12567,15,11767.48,2011-11-17 11:02:00,22,4,5,5,455,Champions
12568,1,70.0,2010-03-05 09:15:00,644,1,1,1,111,Others
12569,32,4124.69,2011-12-07 16:24:00,1,5,5,5,555,Champions
12570,1,77.52,2010-01-26 17:28:00,681,1,1,1,111,Others
12571,2,519.61,2011-10-31 10:19:00,39,4,2,2,422,Potential Loyalists
12572,2,1020.42,2011-12-01 09:20:00,8,5,2,3,523,Potential Loyalists
12573,5,717.41,2011-04-26 15:52:00,226,2,4,3,243,Others
12574,1,218.45,2011-01-28 09:20:00,315,2,1,1,211,Others
12575,2,622.8199999999999,2010-09-08 13:09:00,456,1,2,3,123,Others
12576,8,2142.72,2011-11-04 10:11:00,35,4,4,4,444,Champions
12577,8,1617.1,2011-11-04 13:24:00,34,4,4,4,444,Champions
12578,4,4642.45,2011-11-18 13:30:00,20,4,3,5,435,Loyal Customers
12579,1,440.42,2011-09-22 17:15:00,77,3,1,2,312,Others
12580,2,1052.9,2011-04-07 10:24:00,246,2,2,3,223,Others
12581,1,197.71,2011-10-31 08:56:00,39,4,1,1,411,Potential Loyalists
12582,4,1980.4,2011-04-15 08:45:00,238,2,3,4,234,At Risk
12583,27,13591.58,2011-12-07 08:07:00,2,5,5,5,555,Champions
12584,9,2338.15,2011-12-06 09:35:00,3,5,5,4,554,Champions
12585,2,2040.1,2011-04-19 13:39:00,233,2,2,4,224,At Risk
12586,4,2062.67,2011-11-22 16:24:00,16,5,3,4,534,Loyal Customers
12587,1,144.0,2011-12-02 12:47:00,7,5,1,1,511,Potential Loyalists
12588,4,958.78,2011-10-31 15:01:00,38,4,3,3,433,Loyal Customers
12589,8,4695.66,2011-11-11 10:19:00,28,4,4,5,445,Champions
12590,2,9864.26,2011-05-12 14:52:00,210,2,2,5,225,At Risk
12591,3,1338.95,2011-01-26 14:35:00,316,2,3,4,234,At Risk
12592,5,2582.66,2011-09-08 15:04:00,91,3,4,4,344,Loyal Customers
12593,3,418.09999999999997,2011-08-23 12:43:00,108,3,3,2,332,Others
12594,15,5090.110000000001,2011-11-02 12:20:00,37,4,5,5,455,Champions
12595,1,299.02,2010-07-23 09:10:00,504,1,1,2,112,Others
12596,2,618.27,2011-10-19 13:02:00,50,4,2,3,423,Potential Loyalists
12597,4,3811.22,2011-11-20 13:33:00,18,5,3,5,535,Loyal Customers
12598,11,4534.09,2011-11-30 12:18:00,9,5,5,5,555,Champions
12599,13,2296.72,2011-11-10 13:34:00,28,4,5,4,454,Champions
12600,21,4967.42,2011-11-11 10:29:00,28,4,5,5,455,Champions
12601,6,681.26,2011-06-03 10:17:00,189,2,4,3,243,Others
12602,1,153.12,2011-10-12 11:22:00,58,4,1,1,411,Potential Loyalists
12603,1,739.1999999999999,2011-11-18 10:42:00,21,4,1,3,413,Potential Loyalists
12604,2,254.18,2011-09-21 14:08:00,78,3,2,1,321,Others
12605,4,1232.95,2010-11-28 14:18:00,375,2,3,4,234,At Risk
12606,1,21.0,2010-01-26 16:23:00,681,1,1,1,111,Others
12607,1,1579.51,2011-10-10 16:06:00,59,3,1,4,314,Others
12608,1,415.79,2010-10-31 10:49:00,404,2,1,2,212,Others
12609,9,3435.86,2011-09-22 16:34:00,77,3,5,5,355,Loyal Customers
12610,5,2099.54,2011-11-17 09:34:00,22,4,4,4,444,Champions
12611,1,1193.32,2011-10-18 13:12:00,51,4,1,3,413,Potential Loyalists
12612,1,704.0400000000001,2011-09-26 15:35:00,73,3,1,3,313,Others
12613,10,6817.37,2011-10-13 14:59:00,56,4,5,5,455,Champions
12614,1,315.6,2011-03-07 10:22:00,277,2,1,2,212,Others
12615,8,5740.98,2011-12-07 15:02:00,1,5,4,5,545,Champions
12616,3,1131.1,2011-09-05 15:17:00,94,3,3,3,333,Loyal Customers
12617,1,352.98,2011-11-10 14:39:00,28,4,1,2,412,Potential Loyalists
12618,1,177.31,2011-11-18 11:10:00,21,4,1,1,411,Potential Loyalists
12619,10,3781.38,2011-11-23 14:52:00,15,5,5,5,555,Champions
12620,3,1339.41,2011-11-25 10:20:00,14,5,3,4,534,Loyal Customers
12621,35,24311.2,2011-12-08 11:25:00,1,5,5,5,555,Champions
12622,1,180.1,2011-04-21 16:39:00,231,2,1,1,211,Others
12623,7,3747.84,2011-03-08 13:50:00,275,2,4,5,245,At Risk
12624,2,641.13,2011-08-25 15:04:00,105,3,2,3,323,Others
12625,4,5164.88,2011-05-12 09:54:00,211,2,3,5,235,At Risk
12626,9,6620.48,2011-11-16 16:06:00,22,4,5,5,455,Champions
12627,7,4478.53,2011-11-29 12:07:00,10,5,4,5,545,Champions
12628,3,786.46,2011-12-05 13:15:00,3,5,3,3,533,Loyal Customers
12629,2,1558.22,2010-11-19 09:18:00,385,2,2,4,224,At Risk
12630,2,1270.88,2011-11-30 10:48:00,9,5,2,4,524,Potential Loyalists
12631,6,3481.57,2011-10-13 13:53:00,56,4,4,5,445,Champions
12632,2,804.88,2010-07-07 09:39:00,520,1,2,3,123,Others
12633,7,5678.16,2011-10-12 11:40:00,58,4,4,5,445,Champions
12634,2,490.0,2010-06-22 10:05:00,535,1,2,2,122,Others
12635,4,2930.41,2011-09-11 11:04:00,89,3,3,5,335,Loyal Customers
12636,1,141.0,2009-12-01 09:55:00,738,1,1,1,111,Others
12637,12,8283.81,2011-10-03 13:46:00,66,3,5,5,355,Loyal Customers
12638,2,921.49,2011-11-06 13:11:00,32,4,2,3,423,Potential Loyalists
12639,3,1312.37,2011-04-15 12:48:00,238,2,3,4,234,At Risk
12640,3,1174.58,2011-11-16 11:52:00,23,4,3,3,433,Loyal Customers
12641,1,185.9,2011-08-16 13:26:00,114,3,1,1,311,Others
12642,3,1013.26,2011-11-14 15:03:00,24,4,3,3,433,Loyal Customers
12643,12,8304.82,2011-08-03 12:56:00,127,3,5,5,355,Loyal Customers
12644,4,1918.49,2011-08-02 10:33:00,129,3,3,4,334,Loyal Customers
12645,8,3539.3,2011-11-06 12:38:00,33,4,4,5,445,Champions
12646,2,1346.97,2011-12-05 10:14:00,4,5,2,4,524,Potential Loyalists
12647,36,16955.55,2011-11-17 12:56:00,21,4,5,5,455,Champions
12648,4,1112.0,2011-07-08 11:55:00,154,3,3,3,333,Loyal Customers
12649,8,2294.65,2011-08-24 14:41:00,106,3,4,4,344,Loyal Customers
12650,1,314.44,2011-12-06 16:34:00,2,5,1,2,512,Potential Loyalists
12651,4,377.75,2011-01-09 12:46:00,334,2,3,2,232,Others
12652,2,1017.03,2011-01-12 15:00:00,330,2,2,3,223,Others
12653,3,4160.83,2011-07-14 10:41:00,148,3,3,5,335,Loyal Customers
12654,5,601.98,2011-11-29 10:10:00,10,5,4,2,542,Others
12655,1,261.35,2010-10-12 09:17:00,423,1,1,1,111,Others
12656,8,6407.83,2011-11-22 13:42:00,16,5,4,5,545,Champions
12657,4,1643.18,2011-11-28 15:47:00,10,5,3,4,534,Loyal Customers
12658,1,686.05,2011-11-21 10:22:00,18,5,1,3,513,Potential Loyalists
12659,1,91.68,2011-11-10 11:53:00,29,4,1,1,411,Potential Loyalists
12660,1,245.1,2011-11-28 13:26:00,10,5,1,1,511,Potential Loyalists
12661,1,162.0,2010-09-29 16:46:00,435,1,1,1,111,Others
12662,20,6726.54,2011-12-09 11:59:00,0,5,5,5,555,Champions
12663,2,239.4,2010-03-25 09:40:00,624,1,2,1,121,Others
12664,11,6070.04,2011-12-01 17:07:00,7,5,5,5,555,Champions
12665,3,313.6,2011-01-19 08:34:00,324,2,3,2,232,Others
12666,1,1248.42,2010-11-10 16:40:00,393,2,1,4,214,At Risk
12667,1,620.13,2011-10-12 17:00:00,57,4,1,3,413,Potential Loyalists
12668,10,11383.03,2011-11-28 10:56:00,11,5,5,5,555,Champions
12669,3,2744.0299999999997,2011-07-12 09:54:00,150,3,3,4,334,Loyal Customers
12670,7,3760.29,2011-11-29 15:23:00,9,5,4,5,545,Champions
12671,1,2622.481,2010-04-12 16:30:00,605,1,1,4,114,At Risk
12672,2,437.05,2011-01-14 09:20:00,329,2,2,2,222,Others
12673,3,1230.02,2011-12-04 13:55:00,4,5,3,4,534,Loyal Customers
12674,4,1970.6,2011-11-01 12:12:00,38,4,3,4,434,Loyal Customers
12675,2,957.25,2010-06-04 09:49:00,553,1,2,3,123,Others
12676,11,2843.09,2011-11-15 12:25:00,24,4,5,4,454,Champions
12677,2,395.1,2010-06-02 14:30:00,554,1,2,2,122,Others
12678,21,34281.18,2011-10-28 13:04:00,41,4,5,5,455,Champions
12679,4,1113.02,2011-10-12 12:30:00,58,4,3,3,433,Loyal Customers
12680,4,880.81,2011-12-09 12:50:00,0,5,3,3,533,Loyal Customers
12681,45,29834.76,2011-11-25 11:33:00,14,5,5,5,555,Champions
12682,52,22950.22,2011-12-06 10:00:00,3,5,5,5,555,Champions
12683,21,11633.7,2011-12-05 16:31:00,3,5,5,5,555,Champions
12684,7,2283.63,2011-12-02 09:53:00,7,5,4,4,544,Champions
12685,6,2863.08,2011-11-11 13:46:00,27,4,4,4,444,Champions
12686,1,89.14,2010-12-03 09:51:00,371,2,1,1,211,Others
12687,2,2138.91,2010-08-16 12:12:00,480,1,2,4,124,At Risk
12688,1,4873.8099999999995,2011-08-18 08:49:00,113,3,1,5,315,Others
12689,2,1247.61,2011-11-14 08:31:00,25,4,2,4,424,Potential Loyalists
12690,1,389.01,2011-05-18 09:09:00,205,2,1,2,212,Others
12691,7,1170.4,2011-11-11 16:49:00,27,4,4,3,443,Loyal Customers
12692,1,110.95,2010-03-12 14:02:00,636,1,1,1,111,Others
12693,7,1703.02,2011-08-04 17:51:00,126,3,4,4,344,Loyal Customers
12694,3,1843.35,2011-09-30 13:06:00,69,3,3,4,334,Loyal Customers
12695,7,1407.1200000000001,2011-12-02 13:22:00,6,5,4,4,544,Champions
12696,2,851.91,2010-10-01 10:43:00,434,1,2,3,123,Others
12697,3,957.59,2011-11-11 08:47:00,28,4,3,3,433,Loyal Customers
12698,1,339.75,2010-04-28 15:51:00,589,1,1,2,112,Others
12699,1,638.11,2010-10-18 12:07:00,417,1,1,3,113,Others
12700,4,4939.99,2011-12-02 10:47:00,7,5,3,5,535,Loyal Customers
12701,6,2446.41,2011-09-21 10:47:00,79,3,4,4,344,Loyal Customers
12702,1,219.0,2011-11-20 10:36:00,19,4,1,1,411,Potential Loyalists
12703,4,1006.53,2011-09-29 17:52:00,70,3,3,3,333,Loyal Customers
12704,8,2340.84,2011-12-02 13:15:00,6,5,4,4,544,Champions
12705,14,11762.1,2011-11-24 13:17:00,14,5,5,5,555,Champions
12707,1,603.42,2011-02-21 08:38:00,291,2,1,2,212,Others
12708,18,5117.66,2011-11-10 09:52:00,29,4,5,5,455,Champions
12709,34,30291.76,2011-11-24 15:38:00,14,5,5,5,555,Champions
12710,3,1149.02,2011-09-04 12:00:00,96,3,3,3,333,Loyal Customers
12711,2,1339.05,2010-04-07 11:59:00,611,1,2,4,124,At Risk
